kol,company,ticker
Everything_Money,apple,AAPL
Everything_Money,abbvie,ABBV
Everything_Money,airbnb,ABNB
Everything_Money,adobe,ADBE
Everything_Money,analog devices,ADI
Everything_Money,applied materials,AMAT
Everything_Money,amgen,AMGN
Everything_Money,amer price financial,AMP
Everything_Money,arista networks,ANET
Everything_Money,broadcom,AVGO
Everything_Money,american express,AXP
Everything_Money,autozone,AZO
Everything_Money,boeing,BA
Everything_Money,the boring company,BA
Everything_Money,bank of america,BAC
Everything_Money,biogen,BIIB
Everything_Money,black rock,BLK
Everything_Money,blackrock,BLK
Everything_Money,bristol myers squibb,BMY
Everything_Money,bristol-myers squibb,BMY
Everything_Money,berkshire hathaway,BRK.B
Everything_Money,citigroup,C
Everything_Money,constellation energy,CEG
Everything_Money,charter communications,CHTR
Everything_Money,clorox,CLX
Everything_Money,comcast,CMCSA
Everything_Money,cme,CME
Everything_Money,cme group,CME
Everything_Money,conocophillips,COP
Everything_Money,salesforce,CRM
Everything_Money,crowdstrike,CRWD
Everything_Money,cisco systems,CSCO
Everything_Money,incor systems,CSCO
Everything_Money,cintas,CTAS
Everything_Money,cintas corporation,CTAS
Everything_Money,chevron,CVX
Everything_Money,doordash,DASH
Everything_Money,dollar general,DG
Everything_Money,dollar tree,DLTR
Everything_Money,ebay,EBAY
Everything_Money,bdo international,EIX
Everything_Money,epam systems,EPAM
Everything_Money,fedex,FDX
Everything_Money,fisker,FI
Everything_Money,fortinet,FTNT
Everything_Money,general dynamics,GD
Everything_Money,general electric,GE
Everything_Money,generac,GNRC
Everything_Money,alphabet,GOOG
Everything_Money,goldman sachs,GS
Everything_Money,humana healthcare,HCA
Everything_Money,home depot,HD
Everything_Money,hp,HPQ
Everything_Money,hp inc,HPQ
Everything_Money,hormel foods,HRL
Everything_Money,windom hotels and resorts,HST
Everything_Money,hershey corporation,HSY
Everything_Money,hershey s,HSY
Everything_Money,humana,HUM
Everything_Money,howmet aerospace,HWM
Everything_Money,intel,INTC
Everything_Money,intel corporation,INTC
Everything_Money,intuit,INTU
Everything_Money,invesco,IVZ
Everything_Money,johnson & johnson,JNJ
Everything_Money,johnson and johnson,JNJ
Everything_Money,jpmorgan chase & co,JPM
Everything_Money,kla corporation,KLAC
Everything_Money,coca-cola,KO
Everything_Money,the coca-cola company,KO
